Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,8941,0,4,4.7649042856584,2.3527859993919265,399.8078010008612,21892.11486410916,29.804215741358778,0.0,4,4,5,5,6,8,10,14,180,400,400
GET,GET /customers/{id},8975,0,2,3.4148606316569214,1.3926240008004243,395.9826449990942,436.9557660167131,29.917552430230963,0.0,2,3,3,4,5,6,8,11,110,400,400
GET,GET /health,2978,0,2,1.928479559118673,0.8229489994846517,13.081576000331552,15.0,9.926960572393071,0.0,2,2,2,2,3,4,5,6,13,13,13
GET,GET /orders/{id},8814,0,3,4.392797747560554,2.1281180015648715,398.91067999997176,1338.9469026548672,29.380869874100917,0.0,3,4,4,5,6,7,10,14,130,400,400
GET,GET /products,8992,0,3,3.659119587624661,1.6012039995985106,355.37596299946017,2548.583963523132,29.974220774667057,0.0,3,3,4,4,5,6,9,12,95,360,360
POST,POST /customers,5980,0,52,66.66863574281396,15.67412999975204,645.3463719990395,437.3041806020067,19.9339235134018,0.0,52,62,67,70,120,180,250,290,470,650,650
POST,POST /orders,8864,0,59,76.60850057039929,19.109064000076614,697.2765919999802,1344.3675541516245,29.54754147538354,0.0,59,69,74,83,150,210,270,310,510,700,700
PUT,PUT /customers/{id},5934,0,52,66.1280146806447,16.259078000075533,651.2950749984157,437.38287832827774,19.780585640221787,0.0,52,62,67,70,120,180,240,280,410,650,650
,Aggregated,59478,0,4,27.24965782484547,0.8229489994846517,697.2765919999802,4229.2793133595615,198.2658700217579,0.0,4,27,44,51,68,100,180,230,380,650,700
