Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,20339,0,11,19.69557096116023,3.3281690000421804,454.7850690000814,21897.422439647966,68.02890875642522,0.0,11,14,17,19,34,64,150,180,280,440,450
GET,GET /customers/{id},20675,0,10,25.078730995016972,1.9986689999313967,423.7564980003299,437.2225392986699,69.15274539255084,0.0,10,16,39,49,58,78,140,180,260,390,420
GET,GET /health,6878,0,7,15.940204905930981,1.5425750002577843,126.9437299999936,15.0,23.00520352164279,0.0,7,10,17,44,49,53,58,61,99,130,130
GET,GET /orders/{id},20397,0,11,26.963807695052473,2.217560000190133,425.7037010002023,1338.795460116684,68.22290436623263,0.0,11,19,45,50,60,83,150,190,260,340,430
GET,GET /products,20406,0,8,15.651726834559394,2.186473999699956,410.38540500039744,2546.287562481623,68.25300713327171,0.0,8,10,12,15,26,54,130,170,260,400,410
POST,POST /customers,13581,0,63,88.70773378285598,19.79481300008956,538.1078450000132,438.68522200132537,45.42507546197016,0.0,63,84,99,110,180,250,300,330,430,540,540
POST,POST /orders,20303,0,74,99.37196808491275,23.912635999977283,583.3623140001691,1346.126533024676,67.90849768826891,0.0,74,96,110,120,200,270,320,350,440,570,580
PUT,PUT /customers/{id},13594,0,64,90.0726148257336,22.704588999886255,599.2259820000072,437.43188171252024,45.468557236582164,0.0,64,84,100,110,180,250,300,320,430,570,600
,Aggregated,136173,0,21,46.59391773890473,1.5425750002577843,599.2259820000072,4208.00023499519,455.46489955694443,0.0,21,52,61,69,110,160,250,290,390,530,600
