Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,20508,0,15,24.984711076409166,4.096737000054418,505.89937599988843,21895.87960795787,68.6105995272995,0.0,15,19,24,27,43,82,160,190,330,470,510
GET,GET /customers/{id},20301,0,10,20.183695964335268,2.323864000118192,486.90592100001595,437.19176395251463,67.91807007039726,0.0,10,14,17,20,35,82,150,190,330,470,490
GET,GET /health,6750,0,7,9.343210840443176,1.7824319997998828,105.63401099989278,15.0,22.58248229029021,0.0,7,10,12,13,18,23,31,37,85,110,110
GET,GET /orders/{id},20379,0,12,21.962203989400454,3.1487129999732133,497.47992600032376,1338.7553363756808,68.17902319908507,0.0,12,16,20,23,38,78,160,190,310,490,500
GET,GET /products,20374,0,11,21.001049796160103,2.6378480001767457,494.36870399995314,2546.234465495239,68.16229543442559,0.0,11,15,19,22,37,82,150,190,280,430,490
POST,POST /customers,13523,0,62,85.57815795755336,21.283166999637615,759.0412340000512,438.6715965392295,45.241912298014,0.0,62,71,80,92,180,250,300,340,540,670,760
POST,POST /orders,20298,0,71,97.48728256946411,26.609505000124045,836.8820269997741,1346.0870036456795,67.90803341160158,0.0,71,84,98,120,200,270,330,360,560,710,840
PUT,PUT /customers/{id},13539,0,62,85.93354421656062,22.238238000227284,730.1375370002461,437.4385109683138,45.29544114492432,0.0,62,72,81,93,180,250,310,340,580,710,730
,Aggregated,135672,0,20,45.4048737407118,1.7824319997998828,836.8820269997741,4248.145269473436,453.8978573760375,0.0,20,48,60,67,98,170,250,300,490,660,840
