Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,8942,0,5,6.912975815813116,2.551497000240488,179.01857800006837,21888.688660254975,29.808023067939143,0.0,5,6,7,8,11,13,26,53,110,180,180
GET,GET /customers/{id},8908,0,3,4.050445574312818,1.247074000275461,139.0021480001451,436.8955994611585,29.69468457718652,0.0,3,4,4,5,6,8,13,32,99,140,140
GET,GET /health,2925,0,2,2.259077532313919,0.6844059998911689,18.190700000559445,15.0,9.750443689747483,0.0,2,2,3,3,4,5,7,8,16,18,18
GET,GET /orders/{id},8958,0,4,5.38891002020639,2.0167089996903087,171.2656469999274,1338.855994641661,29.861358828293316,0.0,4,5,6,6,8,10,14,28,110,170,170
GET,GET /products,9003,0,3,5.259831979665213,1.6484369998579496,261.8891360007183,2548.615683661002,30.01136565428943,0.0,3,4,5,6,8,10,19,49,140,260,260
POST,POST /customers,5853,0,60,68.52208459559431,18.428224000672344,505.1728019998336,437.20092260379295,19.510887834561373,0.0,60,66,70,73,98,160,230,270,330,510,510
POST,POST /orders,8834,0,65,78.06794339494942,25.31518599971605,508.3703720001722,1344.2774507584334,29.448006685548464,0.0,65,73,77,85,130,170,240,290,380,510,510
PUT,PUT /customers/{id},6114,0,59,67.9430605876729,17.759971000486985,505.8614770005079,437.3837095191364,20.38092742533884,0.0,59,66,70,73,95,150,220,270,340,510,510
,Aggregated,59537,0,6,28.658631934745834,0.6844059998911689,508.3703720001722,4227.816349496951,198.46569776290457,0.0,6,37,53,59,71,90,150,210,320,490,510
