Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,15072,0,110.0,115.04389452156329,7.09883499996522,822.8658600000927,21892.58923832272,50.41651975540815,0.0,110,120,130,130,150,180,260,290,390,790,820
GET,GET /customers/{id},15299,0,98,102.64664374410106,3.180980000024647,829.6231939999643,437.09000588273744,51.17584499323178,0.0,98,110,110,120,140,170,240,280,360,820,830
GET,GET /health,5024,0,75,79.38044564510336,3.101024999978108,415.2762869999833,15.0,16.80550658513605,0.0,75,92,100,110,130,140,160,210,300,420,420
GET,GET /orders/{id},15066,0,98,103.53372167403381,4.270722999990539,783.7644089999003,1338.6745652462498,50.39644948480489,0.0,98,110,120,120,140,170,250,280,360,770,780
GET,GET /products,14969,0,100.0,106.48125880386091,3.6212659999819152,820.1005679999298,2546.950764914156,50.07198011005206,0.0,100,110,120,120,140,170,240,290,380,810,820
POST,POST /customers,10212,0,160.0,174.41314022218964,32.56534900003771,839.2522560000089,437.6575597336467,34.15960056676142,0.0,160,180,190,200,260,320,370,390,490,810,840
POST,POST /orders,15046,0,220.0,235.88142603303257,44.866002000048866,919.2624029999479,1345.4835172138773,50.329548582794,0.0,220,240,260,270,340,390,440,490,810,920,920
PUT,PUT /customers/{id},10137,0,160.0,176.0034727408505,39.85702499994659,855.0266870000769,437.43050212094306,33.90872218422057,0.0,160,180,190,200,260,320,370,400,510,820,860
,Aggregated,100825,0,120.0,138.56903625869603,3.101024999978108,919.2624029999479,4206.982583684602,337.2641722624089,0.0,120,140,170,180,230,280,350,390,530,860,920
