component,container_name,samples,cpu_average_percent,cpu_max_percent,memory_average_bytes,memory_max_bytes,metric_source
api,tcc_benchmark_node_api,59,51.052139,64.568900,66492211,71286784,cadvisor_via_prometheus
postgresql,tcc_benchmark_postgres,59,61.551143,80.877280,165826014,169803776,cadvisor_via_prometheus
locust,tcc_benchmark_locust,59,51.753906,69.933300,185210197,188907520,cadvisor_via_prometheus
