Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,20503,0,13,22.60708438384669,3.981317000125273,441.07962900011444,21899.66882895186,68.59387318518719,0.0,13,17,20,23,40,77,150,190,290,380,440
GET,GET /customers/{id},20614,0,9,17.667699151354217,2.326156999970408,433.9771990000827,437.2340642281944,68.96522956832897,0.0,9,12,15,18,32,66,130,180,270,430,430
GET,GET /health,6870,0,6,8.284429554585767,1.8051059998924757,106.66393199994673,15.0,22.983949118774618,0.0,6,9,10,11,15,20,26,31,88,110,110
GET,GET /orders/{id},20606,0,10,19.3960423624669,2.9555870000876894,383.84039299990036,1338.8085994370572,68.93846514431874,0.0,10,14,17,20,35,68,140,180,280,350,380
GET,GET /products,20634,0,10,18.833273585732694,2.3989399999209127,453.69689199992536,2546.280410972182,69.03214062835451,0.0,10,13,17,19,35,66,140,180,260,380,450
POST,POST /customers,13759,0,64,83.9086857111706,20.672621000130675,585.6893749999017,438.7254160912857,46.03146374457351,0.0,64,72,80,90,170,240,290,320,440,580,590
POST,POST /orders,20634,0,73,96.79740141993807,24.968149000187623,652.9962160000196,1346.1460211301735,69.03214062835451,0.0,73,86,99,110,190,260,320,360,480,560,650
PUT,PUT /customers/{id},13673,0,63,83.16902960893836,23.913803000141343,580.3429330001109,437.42236524537407,45.74374618646366,0.0,63,71,79,88,160,230,290,320,470,550,580
,Aggregated,137293,0,18,43.42462454749312,1.8051059998924757,652.9962160000196,4210.3109335508725,459.3210082043557,0.0,18,49,62,68,94,160,240,280,410,550,650
