Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,9059,0,5,7.687010254440304,2.296925999871746,191.33996100026707,21886.967214924385,30.19307651367593,0.0,5,7,10,12,16,20,25,31,84,190,190
GET,GET /customers/{id},8874,0,3,5.26448575986302,1.1295180001980043,139.09364300070592,436.79952670723463,29.57648316396514,0.0,3,4,6,8,11,15,20,25,87,140,140
GET,GET /health,2953,0,2,2.8951714453172137,0.8140330000969698,17.130205999819736,15.0,9.842163036194394,0.0,2,3,4,4,6,8,10,11,17,17,17
GET,GET /orders/{id},8840,0,4,6.389308420364622,1.9077900005868287,162.1942729998409,1338.7692307692307,29.46316330509937,0.0,4,5,7,9,13,16,21,25,97,160,160
GET,GET /products,8866,0,4,6.508916893301557,1.467767000576714,139.36831800037908,2548.743740130837,29.54981966776143,0.0,4,6,8,10,15,19,24,30,70,140,140
POST,POST /customers,6006,0,54,65.24299752730198,16.315875000145752,388.5345219996452,437.24242424242425,20.017619774935163,0.0,54,63,69,73,110,160,230,260,320,390,390
POST,POST /orders,8946,0,64,76.86346741705671,18.721174000347673,421.0699180002848,1344.3075117370893,29.81645462979853,0.0,64,75,83,91,130,180,260,290,360,420,420
PUT,PUT /customers/{id},5994,0,55,65.32453633750978,16.40044800024043,396.6651569999158,437.37303970637305,19.977624530629598,0.0,55,64,69,73,100,160,240,260,320,400,400
,Aggregated,59538,0,8,28.723133979761748,0.8140330000969698,421.0699180002848,4264.507356646175,198.43640462205954,0.0,8,29,46,54,72,96,160,220,310,390,420
