Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,20800,0,10,16.876548336972697,3.2322120000571886,355.9132460000001,21898.522163461537,69.57926593537056,0.0,10,12,14,16,26,50,130,180,270,320,360
GET,GET /customers/{id},20858,0,8,21.271467882777827,1.9311900000502646,337.7438320001147,437.2657014095311,69.77328504230573,0.0,8,11,18,45,54,73,130,180,260,320,340
GET,GET /health,6929,0,6,13.954273982104677,1.6920400000799418,115.82633900002293,15.0,23.17859296472032,0.0,6,8,11,17,48,52,57,60,100,120,120
GET,GET /orders/{id},20544,0,8,21.745871896466763,2.1071349999601807,340.0815420000072,1338.8533878504672,68.72290573924293,0.0,8,12,19,45,54,73,130,180,290,330,340
GET,GET /products,20801,0,7,13.764157436085021,2.2652019999895856,318.5122360000605,2546.2984952646507,69.58261109238668,0.0,7,9,10,12,20,45,120,170,260,310,320
POST,POST /customers,13697,0,59,83.35184371490199,22.643348999963564,554.0782240000226,438.711250638826,45.818615649844745,0.0,59,72,93,100,160,240,300,330,420,550,550
POST,POST /orders,20666,0,65,89.91355027039565,24.3057080001563,691.5479540000433,1346.1750701635538,69.13101489521,0.0,65,83,100,110,170,250,310,340,430,570,690
PUT,PUT /customers/{id},13707,0,59,81.3982321227107,20.09446600004594,566.9708940001783,437.42562194499163,45.85206722000598,0.0,59,71,90,100,150,240,290,330,420,500,570
,Aggregated,138002,0,15,41.59364559177384,1.6920400000799418,691.5479540000433,4239.1379690149415,461.63835853908694,0.0,15,48,56,63,99,150,240,280,390,500,690
