Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,14690,0,120.0,122.80295386950348,7.526973000011594,455.3901539999856,21899.616473791695,49.13487632627061,0.0,120,130,140,140,160,180,250,290,380,430,460
GET,GET /customers/{id},14538,0,100.0,107.93914192550507,3.254524999988462,415.40873100001363,437.1919108543128,48.62646916482792,0.0,100,110,120,120,140,170,220,260,360,400,420
GET,GET /health,5038,0,91,92.99623821159217,3.284110999999257,366.8301650000103,15.0,16.851021574659722,0.0,91,110,120,130,140,160,180,210,300,370,370
GET,GET /orders/{id},14837,0,100.0,109.3340263316713,3.66227999998614,421.3808289999861,1338.8809732425693,49.626559567929,0.0,100,110,120,130,140,170,230,270,360,400,420
GET,GET /products,14763,0,110.0,114.9078768777353,4.212663000004113,427.7460289999908,2546.9676217570955,49.37904555512137,0.0,110,120,130,130,150,170,230,280,360,420,430
POST,POST /customers,9911,0,160.0,178.54060962425535,39.02741900000706,600.8593390000101,437.5402078498638,33.15015379643758,0.0,160,180,190,200,250,310,370,390,470,600,600
POST,POST /orders,14727,0,230.0,241.32666625157802,38.85480799999641,691.9640709999726,1345.6028383241664,49.25863333267442,0.0,230,250,260,280,330,380,440,470,560,670,690
PUT,PUT /customers/{id},9912,0,160.0,178.40172878692442,33.34978300000557,639.9411650000388,437.42887409200966,33.153498580394434,0.0,160,180,190,200,250,310,360,400,460,640,640
,Aggregated,98416,0,130.0,144.81522671520864,3.254524999988462,691.9640709999726,4207.564227361405,329.18025789831506,0.0,130,150,170,190,240,280,340,390,500,600,690
