Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,8920,0,3,3.2402492538181678,1.6093100002763094,185.1217479998013,21894.71894618834,29.734907359051206,0.0,3,3,3,3,4,4,6,9,100,190,190
GET,GET /customers/{id},9013,0,2,3.2099892733848017,1.0020159998020972,174.02781400051026,436.88094973926553,30.044923769857455,0.0,2,2,3,3,3,4,12,45,100,170,170
GET,GET /health,2993,0,1,2.0845669468734904,0.7363879994954914,53.187145000265446,15.0,9.977194812291508,0.0,1,1,2,2,2,3,5,43,49,53,53
GET,GET /orders/{id},8958,0,2,3.277014676041026,1.0552080002526054,170.10758700052975,1338.8180397410135,29.861580731208598,0.0,2,3,3,3,3,4,14,45,100,170,170
GET,GET /products,8877,0,2,2.475979981066992,1.1966860001848545,190.83257500005857,2548.8031992790357,29.591566437925735,0.0,2,2,2,2,3,4,5,8,100,190,190
POST,POST /customers,6038,0,44,60.230423789999364,14.641020000453864,353.07509199992637,437.2360052997681,20.12773213385103,0.0,44,55,62,68,120,180,230,250,300,350,350
POST,POST /orders,8836,0,48,66.2438265359861,17.31239499986259,442.0915540003989,1344.3352195563602,29.454892536387494,0.0,48,59,68,74,130,190,250,280,370,440,440
PUT,PUT /customers/{id},5912,0,45,61.82740207644792,15.797002999534016,348.2553570001983,437.3917456021651,19.707709899855463,0.0,45,56,64,69,130,180,230,260,340,350,350
,Aggregated,59547,0,3,24.013533653902353,0.7363879994954914,442.0915540003989,4215.27013955363,198.50050768042848,0.0,3,25,38,44,62,96,170,220,320,390,440
