container_name,samples,cpu_average_percent,cpu_max_percent,memory_average_bytes,memory_max_bytes,network_rx_delta_bytes,network_tx_delta_bytes,block_read_delta_bytes,block_write_delta_bytes
tcc-postgresql-backend-benchmark-locust-run-6867e01e55ce,72,26.509306,45.470000,504812157,523344282,268446000,26244100,0,0
tcc_benchmark_cadvisor,72,1.064167,4.140000,40799946,44428165,40000,1070000,0,0
tcc_benchmark_grafana,72,0.178889,1.200000,67000074,67874324,5300,2900,0,12000
tcc_benchmark_node_api,72,23.981111,38.260000,62369737,64277709,280000000,418000000,0,0
tcc_benchmark_postgres,72,27.560139,37.840000,114086525,118384230,151000000,259000000,0,15900000
tcc_benchmark_postgres_exporter,72,0.411806,2.230000,13949993,15414067,2800000,1250000,0,0
tcc_benchmark_prometheus,72,0.378194,2.650000,83912877,85584773,20100000,150000,0,1600000
tcc_benchmark_results_exporter,72,3.437500,15.620000,17670690,28521267,72000,17700000,0,0
