Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,8862,0,4,5.434403145003327,2.1140899998499663,275.35932200044044,21893.370345294516,29.53316770512306,0.0,4,4,5,6,8,11,18,27,120,280,280
GET,GET /customers/{id},8799,0,2,3.714889459828533,1.2222550003571087,288.9861720004774,436.86918968064555,29.32321627593972,0.0,2,3,3,4,6,8,12,24,110,290,290
GET,GET /health,3061,0,2,1.9693346677686843,0.8142779997797334,14.070620000893541,15.0,10.200973408415898,0.0,2,2,2,2,3,4,6,7,10,14,14
GET,GET /orders/{id},8995,0,3,4.866190396997237,1.9961180005338974,291.5794230002575,1338.8365758754865,29.976398500065667,0.0,3,4,4,5,7,9,15,26,130,290,290
GET,GET /products,8812,0,3,4.430451945298532,1.4449300006162957,303.79388599976664,2548.4988651838403,29.366539586723583,0.0,3,3,4,5,7,10,16,26,140,300,300
POST,POST /customers,6011,0,55,69.90989117384467,16.529602999980852,469.3375280003238,437.20296123773085,20.03203239398496,0.0,55,63,69,74,130,200,260,300,390,470,470
POST,POST /orders,8951,0,61,78.6205977455076,19.326158999319887,609.4079120002789,1344.279521841135,29.829765755874128,0.0,61,71,78,88,150,210,280,310,450,610,610
PUT,PUT /customers/{id},5996,0,54,70.03657795130196,17.11462200000824,453.1572830001096,437.40426951300867,19.982043958465116,0.0,54,64,69,74,140,200,250,290,380,450,450
,Aggregated,59487,0,4,28.806097118212016,0.8142779997797334,609.4079120002789,4197.43021164288,198.24413758459212,0.0,4,31,47,54,71,110,200,240,350,470,610
