Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,20127,0,14,22.53751635971659,3.930246999971132,875.0638799997432,21896.108113479404,67.35511083160695,0.0,14,17,21,24,38,69,150,180,300,400,880
GET,GET /customers/{id},20647,0,9,18.2294234572079,2.3393430001306115,891.6162669997902,437.2431830290115,69.09529355294822,0.0,9,12,15,18,31,63,150,180,290,870,890
GET,GET /health,6744,0,7,8.494029569840558,1.7956460001187224,95.74276800003645,15.0,22.568831293702853,0.0,7,9,11,12,16,21,28,34,83,96,96
GET,GET /orders/{id},20477,0,11,20.13009108897858,3.10325999998895,898.9070480001828,1338.8051960736436,68.52638766327895,0.0,11,14,18,20,34,67,150,180,300,890,900
GET,GET /products,20674,0,10,19.201915229467065,2.595415999621764,882.5087589998475,2546.262165038212,69.18564919424863,0.0,10,13,16,19,32,66,150,190,310,720,880
POST,POST /customers,13549,0,63,83.86038686375421,23.107356000309665,1015.8614339998167,438.6776145841022,45.341799406639964,0.0,63,71,78,86,160,240,310,340,510,1000,1000
POST,POST /orders,20548,0,72,96.69927419238016,26.661400999728357,1020.2002189998893,1346.108477710726,68.76398953484671,0.0,72,83,95,110,190,270,330,380,570,970,1000
PUT,PUT /customers/{id},13652,0,63,85.3730431034255,20.023053999921103,1007.6446910002232,437.4278493993554,45.68648944567487,0.0,63,71,78,87,170,250,310,340,840,990,1000
,Aggregated,136418,0,18,43.873809586454335,1.7956460001187224,1020.2002189998893,4174.399793282411,456.52355092294715,0.0,18,49,61,67,92,160,250,300,460,950,1000
