Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,20674,0,13,22.495217658023414,3.9864000000306987,531.2406409998403,21899.909693334623,69.15839512443698,0.0,13,16,19,22,37,75,170,200,320,480,530
GET,GET /customers/{id},20826,0,8,16.14688970061435,2.1507220003513794,541.1907340003381,437.2369634111207,69.66686354172025,0.0,8,11,14,16,27,52,130,180,290,530,540
GET,GET /health,6962,0,6,7.723242089195486,1.5197600000647071,104.49237400007405,15.0,23.289191586356303,0.0,6,8,9,11,15,20,27,33,87,100,100
GET,GET /orders/{id},20587,0,10,18.014080123474635,3.0335919996105076,514.0872470001341,1338.8290183125273,68.86736385928141,0.0,10,13,16,18,29,56,140,180,280,510,510
GET,GET /products,20520,0,9,18.88595612753219,2.5638239999352663,591.3663970000016,2546.293274853801,68.64323633324207,0.0,9,12,15,18,31,72,160,200,330,560,590
POST,POST /customers,13723,0,58,78.34793018166701,20.530332999896928,626.6345939998246,438.7171901187787,45.90600059459459,0.0,58,66,73,80,170,230,280,320,450,620,630
POST,POST /orders,20746,0,67,89.74496352684876,27.21805900000618,662.0457320000241,1346.1743468620457,69.39924858525536,0.0,67,78,88,99,180,250,300,350,490,630,660
PUT,PUT /customers/{id},13746,0,57,76.99554992092023,22.147501000290504,638.2519260000663,437.43125272806634,45.982939894578244,0.0,57,66,73,79,160,230,280,320,440,620,640
,Aggregated,137784,0,16,40.70795333170038,1.5197600000647071,662.0457320000241,4222.135008418974,460.9132395194652,0.0,16,44,56,63,85,160,240,280,420,610,660
